id,thread_number,retweets,likes,replies
973770546474377216,Thread 13,0,1,1
973771373138120705,Thread 13,0,3,1
973771375323336704,Thread 13,5,9,1
973774326041280512,Thread 13,2,6,1
985253889392787456,Thread 14,1,9,2
985254614197940224,Thread 14,0,1,1
985254615762354176,Thread 14,0,1,1
985254615049318400,Thread 14,0,1,1
985255284498055168,Thread 14,0,2,1
985255285232099328,Thread 14,0,4,1
985255650199453696,Thread 14,0,4,1
985255651067572224,Thread 14,0,1,1
985256111279226880,Thread 14,0,1,1
985256110381674498,Thread 14,0,1,1
985256496148574208,Thread 14,0,1,1
985256495397855232,Thread 14,0,1,1
985256708925566976,Thread 14,0,1,1
985256917873209345,Thread 14,0,1,1
985257681882525697,Thread 14,0,2,1
985257682624921600,Thread 14,0,1,1
986240442399256576,Thread 14,0,0,1
985910452839329792,Thread 15,75,97,13
985910454256939008,Thread 15,1,6,1
985910456979042304,Thread 15,2,5,1
985910465367691264,Thread 15,3,8,1
985910464637911040,Thread 15,3,7,1
985910468991582208,Thread 15,4,8,1
985910466227523584,Thread 15,1,10,1
985910471537573888,Thread 15,4,12,2
985910474037342208,Thread 15,3,11,2
985910477162037249,Thread 15,1,9,1
985910478013517824,Thread 15,1,7,1
985910481465425926,Thread 15,8,68,3
985910479011762176,Thread 15,6,28,10
985910484313362432,Thread 15,2,20,1
985910487383654401,Thread 15,1,16,1
985910488386060288,Thread 15,0,8,1
997892198871027712,Thread 16,180,147,12
998191165894807552,Thread 16,8,11,1
998191645698019328,Thread 16,6,10,2
998192128294518785,Thread 16,7,18,2
998193084537212928,Thread 16,6,11,2
998194102163398656,Thread 16,4,13,1
998194932891508738,Thread 16,7,15,1
998195579695042560,Thread 16,6,18,2
998204740499574784,Thread 16,5,15,1
998205551988346881,Thread 16,5,13,1
998206914185048064,Thread 16,3,11,1
998207524485640192,Thread 16,2,10,1
998208064674201601,Thread 16,5,14,1
998208917166608384,Thread 16,8,13,2
998209454876319745,Thread 16,4,10,1
998210072856719360,Thread 16,4,15,1
998210735955169280,Thread 16,6,16,2
998211434315243520,Thread 16,10,31,2
953821026684735488,Thread 17,403,730,31
953821909329866758,Thread 17,124,266,8
953826013531734016,Thread 17,179,323,15
953827866579435521,Thread 17,95,215,5
953829908593152006,Thread 17,104,213,4
953831069744279554,Thread 17,231,361,26
953832782651953157,Thread 17,188,297,8
953834438592524288,Thread 17,168,262,9
953836421609029632,Thread 17,154,227,5
953840784184356865,Thread 17,202,307,12
953843512688209921,Thread 17,213,314,14
953845227772620800,Thread 17,110,173,2
953847076592463872,Thread 17,134,210,7
953848055656275968,Thread 17,199,306,17
953849213204488198,Thread 17,101,148,5
953852400305082368,Thread 17,181,274,15
953855295750590464,Thread 17,78,173,6
953858303339220993,Thread 17,59,118,5
953864177961046017,Thread 17,58,133,11
953867283973144576,Thread 17,115,244,14
952879121503223808,Thread 18,6,13,2
952880474371784710,Thread 18,1,5,1
952881561921343489,Thread 18,0,3,1
952882491702071296,Thread 18,1,3,1
952883770893438977,Thread 18,1,3,1
952884625730428928,Thread 18,1,7,1
952885487445991424,Thread 18,1,2,1
952886229422534657,Thread 18,2,3,1
952887181730811904,Thread 18,4,5,1
952888148476026880,Thread 18,1,3,1
952889262151696386,Thread 18,2,1,1
952890951961399297,Thread 18,4,5,1
952891978982846464,Thread 18,2,5,1
952893153186668544,Thread 18,1,3,1
952894463873036288,Thread 18,2,1,1
952895596184162305,Thread 18,1,0,1
952903229821636608,Thread 18,1,1,0
963728007700582400,Thread 19,13,17,3
963728016798085121,Thread 19,0,5,1
963728018517774336,Thread 19,0,4,1
963728023030845441,Thread 19,0,2,1
963728021042679809,Thread 19,0,2,1
963802648045551616,Thread 19,0,2,1
963803244534358017,Thread 19,1,1,1
963803409584402432,Thread 19,0,1,1
